"raceid","year","grand_prix","country","driverid","driver","nationality"
411,1986,"French Grand Prix","France",95,"Nigel Mansell","UK"
413,1986,"German Grand Prix","Germany",137,"Nelson Piquet","Brazil"
414,1986,"Hungarian Grand Prix","Hungary",137,"Nelson Piquet","Brazil"
415,1986,"Austrian Grand Prix","Austria",117,"Alain Prost","France"
416,1986,"Italian Grand Prix","Italy",137,"Nelson Piquet","Brazil"
417,1986,"Portuguese Grand Prix","Portugal",95,"Nigel Mansell","UK"
418,1986,"Mexican Grand Prix","Mexico",77,"Gerhard Berger","Austria"
419,1986,"Australian Grand Prix","Australia",117,"Alain Prost","France"
388,1987,"Brazilian Grand Prix","Brazil",117,"Alain Prost","France"
389,1987,"San Marino Grand Prix","Italy",95,"Nigel Mansell","UK"
390,1987,"Belgian Grand Prix","Belgium",117,"Alain Prost","France"
391,1987,"Monaco Grand Prix","Monaco",102,"Ayrton Senna","Brazil"
392,1987,"Detroit Grand Prix","USA",102,"Ayrton Senna","Brazil"
393,1987,"French Grand Prix","France",95,"Nigel Mansell","UK"
395,1987,"German Grand Prix","Germany",137,"Nelson Piquet","Brazil"
396,1987,"Hungarian Grand Prix","Hungary",137,"Nelson Piquet","Brazil"
397,1987,"Austrian Grand Prix","Austria",95,"Nigel Mansell","UK"
398,1987,"Italian Grand Prix","Italy",137,"Nelson Piquet","Brazil"
399,1987,"Portuguese Grand Prix","Portugal",117,"Alain Prost","France"
400,1987,"Spanish Grand Prix","Spain",95,"Nigel Mansell","UK"
401,1987,"Mexican Grand Prix","Mexico",95,"Nigel Mansell","UK"
402,1987,"Japanese Grand Prix","Japan",77,"Gerhard Berger","Austria"
403,1987,"Australian Grand Prix","Australia",77,"Gerhard Berger","Austria"
372,1988,"Brazilian Grand Prix","Brazil",117,"Alain Prost","France"
373,1988,"San Marino Grand Prix","Italy",102,"Ayrton Senna","Brazil"
374,1988,"Monaco Grand Prix","Monaco",117,"Alain Prost","France"
375,1988,"Mexican Grand Prix","Mexico",117,"Alain Prost","France"
376,1988,"Canadian Grand Prix","Canada",102,"Ayrton Senna","Brazil"
377,1988,"Detroit Grand Prix","USA",102,"Ayrton Senna","Brazil"
379,1988,"British Grand Prix","UK",102,"Ayrton Senna","Brazil"
380,1988,"German Grand Prix","Germany",102,"Ayrton Senna","Brazil"
381,1988,"Hungarian Grand Prix","Hungary",102,"Ayrton Senna","Brazil"
382,1988,"Belgian Grand Prix","Belgium",102,"Ayrton Senna","Brazil"
383,1988,"Italian Grand Prix","Italy",77,"Gerhard Berger","Austria"
384,1988,"Portuguese Grand Prix","Portugal",117,"Alain Prost","France"
385,1988,"Spanish Grand Prix","Spain",117,"Alain Prost","France"
386,1988,"Japanese Grand Prix","Japan",102,"Ayrton Senna","Brazil"
387,1988,"Australian Grand Prix","Australia",117,"Alain Prost","France"
356,1989,"Brazilian Grand Prix","Brazil",95,"Nigel Mansell","UK"
357,1989,"San Marino Grand Prix","Italy",102,"Ayrton Senna","Brazil"
358,1989,"Monaco Grand Prix","Monaco",102,"Ayrton Senna","Brazil"
359,1989,"Mexican Grand Prix","Mexico",102,"Ayrton Senna","Brazil"
360,1989,"United States Grand Prix","USA",117,"Alain Prost","France"
361,1989,"Canadian Grand Prix","Canada",123,"Thierry Boutsen","Belgium"
363,1989,"British Grand Prix","UK",117,"Alain Prost","France"
364,1989,"German Grand Prix","Germany",102,"Ayrton Senna","Brazil"
365,1989,"Hungarian Grand Prix","Hungary",95,"Nigel Mansell","UK"
366,1989,"Belgian Grand Prix","Belgium",102,"Ayrton Senna","Brazil"
367,1989,"Italian Grand Prix","Italy",117,"Alain Prost","France"
368,1989,"Portuguese Grand Prix","Portugal",77,"Gerhard Berger","Austria"
369,1989,"Spanish Grand Prix","Spain",102,"Ayrton Senna","Brazil"
370,1989,"Japanese Grand Prix","Japan",145,"Alessandro Nannini","Italy"
371,1989,"Australian Grand Prix","Australia",123,"Thierry Boutsen","Belgium"
321,1990,"United States Grand Prix","USA",102,"Ayrton Senna","Brazil"
322,1990,"Brazilian Grand Prix","Brazil",117,"Alain Prost","France"
324,1990,"Monaco Grand Prix","Monaco",102,"Ayrton Senna","Brazil"
325,1990,"Canadian Grand Prix","Canada",102,"Ayrton Senna","Brazil"
326,1990,"Mexican Grand Prix","Mexico",117,"Alain Prost","France"
328,1990,"British Grand Prix","UK",117,"Alain Prost","France"
329,1990,"German Grand Prix","Germany",102,"Ayrton Senna","Brazil"
330,1990,"Hungarian Grand Prix","Hungary",123,"Thierry Boutsen","Belgium"
331,1990,"Belgian Grand Prix","Belgium",102,"Ayrton Senna","Brazil"
332,1990,"Italian Grand Prix","Italy",102,"Ayrton Senna","Brazil"
333,1990,"Portuguese Grand Prix","Portugal",95,"Nigel Mansell","UK"
334,1990,"Spanish Grand Prix","Spain",117,"Alain Prost","France"
335,1990,"Japanese Grand Prix","Japan",137,"Nelson Piquet","Brazil"
336,1990,"Australian Grand Prix","Australia",137,"Nelson Piquet","Brazil"
305,1991,"United States Grand Prix","USA",102,"Ayrton Senna","Brazil"
307,1991,"San Marino Grand Prix","Italy",102,"Ayrton Senna","Brazil"
308,1991,"Monaco Grand Prix","Monaco",102,"Ayrton Senna","Brazil"
309,1991,"Canadian Grand Prix","Canada",137,"Nelson Piquet","Brazil"
310,1991,"Mexican Grand Prix","Mexico",119,"Riccardo Patrese","Italy"
311,1991,"French Grand Prix","France",95,"Nigel Mansell","UK"
313,1991,"German Grand Prix","Germany",95,"Nigel Mansell","UK"
314,1991,"Hungarian Grand Prix","Hungary",102,"Ayrton Senna","Brazil"
315,1991,"Belgian Grand Prix","Belgium",102,"Ayrton Senna","Brazil"
316,1991,"Italian Grand Prix","Italy",95,"Nigel Mansell","UK"
317,1991,"Portuguese Grand Prix","Portugal",119,"Riccardo Patrese","Italy"
318,1991,"Spanish Grand Prix","Spain",95,"Nigel Mansell","UK"
319,1991,"Japanese Grand Prix","Japan",77,"Gerhard Berger","Austria"
320,1991,"Australian Grand Prix","Australia",102,"Ayrton Senna","Brazil"
289,1992,"South African Grand Prix","South Africa",95,"Nigel Mansell","UK"
290,1992,"Mexican Grand Prix","Mexico",95,"Nigel Mansell","UK"
291,1992,"Brazilian Grand Prix","Brazil",95,"Nigel Mansell","UK"
292,1992,"Spanish Grand Prix","Spain",95,"Nigel Mansell","UK"
293,1992,"San Marino Grand Prix","Italy",95,"Nigel Mansell","UK"
294,1992,"Monaco Grand Prix","Monaco",102,"Ayrton Senna","Brazil"
295,1992,"Canadian Grand Prix","Canada",77,"Gerhard Berger","Austria"
296,1992,"French Grand Prix","France",95,"Nigel Mansell","UK"
298,1992,"German Grand Prix","Germany",95,"Nigel Mansell","UK"
299,1992,"Hungarian Grand Prix","Hungary",102,"Ayrton Senna","Brazil"
300,1992,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","Germany"
301,1992,"Italian Grand Prix","Italy",102,"Ayrton Senna","Brazil"
302,1992,"Portuguese Grand Prix","Portugal",95,"Nigel Mansell","UK"
303,1992,"Japanese Grand Prix","Japan",119,"Riccardo Patrese","Italy"
304,1992,"Australian Grand Prix","Australia",77,"Gerhard Berger","Austria"
273,1993,"South African Grand Prix","South Africa",117,"Alain Prost","France"
275,1993,"European Grand Prix","UK",102,"Ayrton Senna","Brazil"
276,1993,"San Marino Grand Prix","Italy",117,"Alain Prost","France"
277,1993,"Spanish Grand Prix","Spain",117,"Alain Prost","France"
278,1993,"Monaco Grand Prix","Monaco",102,"Ayrton Senna","Brazil"
279,1993,"Canadian Grand Prix","Canada",117,"Alain Prost","France"
281,1993,"British Grand Prix","UK",117,"Alain Prost","France"
282,1993,"German Grand Prix","Germany",117,"Alain Prost","France"
283,1993,"Hungarian Grand Prix","Hungary",71,"Damon Hill","UK"
284,1993,"Belgian Grand Prix","Belgium",71,"Damon Hill","UK"
285,1993,"Italian Grand Prix","Italy",71,"Damon Hill","UK"
286,1993,"Portuguese Grand Prix","Portugal",30,"Michael Schumacher","Germany"
287,1993,"Japanese Grand Prix","Japan",102,"Ayrton Senna","Brazil"
288,1993,"Australian Grand Prix","Australia",102,"Ayrton Senna","Brazil"
257,1994,"Brazilian Grand Prix","Brazil",30,"Michael Schumacher","Germany"
258,1994,"Pacific Grand Prix","Japan",30,"Michael Schumacher","Germany"
259,1994,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
260,1994,"Monaco Grand Prix","Monaco",30,"Michael Schumacher","Germany"
261,1994,"Spanish Grand Prix","Spain",71,"Damon Hill","UK"
262,1994,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
263,1994,"French Grand Prix","France",30,"Michael Schumacher","Germany"
265,1994,"German Grand Prix","Germany",77,"Gerhard Berger","Austria"
266,1994,"Hungarian Grand Prix","Hungary",30,"Michael Schumacher","Germany"
267,1994,"Belgian Grand Prix","Belgium",71,"Damon Hill","UK"
268,1994,"Italian Grand Prix","Italy",71,"Damon Hill","UK"
269,1994,"Portuguese Grand Prix","Portugal",71,"Damon Hill","UK"
270,1994,"European Grand Prix","Spain",30,"Michael Schumacher","Germany"
271,1994,"Japanese Grand Prix","Japan",71,"Damon Hill","UK"
272,1994,"Australian Grand Prix","Australia",95,"Nigel Mansell","UK"
240,1995,"Brazilian Grand Prix","Brazil",30,"Michael Schumacher","Germany"
241,1995,"Argentine Grand Prix","Argentina",71,"Damon Hill","UK"
242,1995,"San Marino Grand Prix","Italy",71,"Damon Hill","UK"
243,1995,"Spanish Grand Prix","Spain",30,"Michael Schumacher","Germany"
244,1995,"Monaco Grand Prix","Monaco",30,"Michael Schumacher","Germany"
245,1995,"Canadian Grand Prix","Canada",55,"Jean Alesi","France"
246,1995,"French Grand Prix","France",30,"Michael Schumacher","Germany"
249,1995,"Hungarian Grand Prix","Hungary",71,"Damon Hill","UK"
250,1995,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","Germany"
251,1995,"Italian Grand Prix","Italy",65,"Johnny Herbert","UK"
252,1995,"Portuguese Grand Prix","Portugal",14,"David Coulthard","UK"
254,1995,"Pacific Grand Prix","Japan",30,"Michael Schumacher","Germany"
255,1995,"Japanese Grand Prix","Japan",30,"Michael Schumacher","Germany"
256,1995,"Australian Grand Prix","Australia",71,"Damon Hill","UK"
224,1996,"Australian Grand Prix","Australia",71,"Damon Hill","UK"
225,1996,"Brazilian Grand Prix","Brazil",71,"Damon Hill","UK"
226,1996,"Argentine Grand Prix","Argentina",71,"Damon Hill","UK"
227,1996,"European Grand Prix","Germany",35,"Jacques Villeneuve","Canada"
228,1996,"San Marino Grand Prix","Italy",71,"Damon Hill","UK"
229,1996,"Monaco Grand Prix","Monaco",44,"Olivier Panis","France"
230,1996,"Spanish Grand Prix","Spain",30,"Michael Schumacher","Germany"
231,1996,"Canadian Grand Prix","Canada",71,"Damon Hill","UK"
232,1996,"French Grand Prix","France",71,"Damon Hill","UK"
233,1996,"British Grand Prix","UK",35,"Jacques Villeneuve","Canada"
234,1996,"German Grand Prix","Germany",71,"Damon Hill","UK"
235,1996,"Hungarian Grand Prix","Hungary",35,"Jacques Villeneuve","Canada"
236,1996,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","Germany"
237,1996,"Italian Grand Prix","Italy",30,"Michael Schumacher","Germany"
238,1996,"Portuguese Grand Prix","Portugal",35,"Jacques Villeneuve","Canada"
239,1996,"Japanese Grand Prix","Japan",71,"Damon Hill","UK"
207,1997,"Australian Grand Prix","Australia",14,"David Coulthard","UK"
208,1997,"Brazilian Grand Prix","Brazil",35,"Jacques Villeneuve","Canada"
209,1997,"Argentine Grand Prix","Argentina",35,"Jacques Villeneuve","Canada"
210,1997,"San Marino Grand Prix","Italy",49,"Heinz-Harald Frentzen","Germany"
211,1997,"Monaco Grand Prix","Monaco",30,"Michael Schumacher","Germany"
212,1997,"Spanish Grand Prix","Spain",35,"Jacques Villeneuve","Canada"
213,1997,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
214,1997,"French Grand Prix","France",30,"Michael Schumacher","Germany"
215,1997,"British Grand Prix","UK",35,"Jacques Villeneuve","Canada"
216,1997,"German Grand Prix","Germany",77,"Gerhard Berger","Austria"
217,1997,"Hungarian Grand Prix","Hungary",35,"Jacques Villeneuve","Canada"
218,1997,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","Germany"
219,1997,"Italian Grand Prix","Italy",14,"David Coulthard","UK"
220,1997,"Austrian Grand Prix","Austria",35,"Jacques Villeneuve","Canada"
221,1997,"Luxembourg Grand Prix","Germany",35,"Jacques Villeneuve","Canada"
222,1997,"Japanese Grand Prix","Japan",30,"Michael Schumacher","Germany"
223,1997,"European Grand Prix","Spain",57,"Mika Häkkinen","Finland"
191,1998,"Australian Grand Prix","Australia",57,"Mika Häkkinen","Finland"
192,1998,"Brazilian Grand Prix","Brazil",57,"Mika Häkkinen","Finland"
193,1998,"Argentine Grand Prix","Argentina",30,"Michael Schumacher","Germany"
194,1998,"San Marino Grand Prix","Italy",14,"David Coulthard","UK"
195,1998,"Spanish Grand Prix","Spain",57,"Mika Häkkinen","Finland"
196,1998,"Monaco Grand Prix","Monaco",57,"Mika Häkkinen","Finland"
197,1998,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
198,1998,"French Grand Prix","France",30,"Michael Schumacher","Germany"
199,1998,"British Grand Prix","UK",30,"Michael Schumacher","Germany"
200,1998,"Austrian Grand Prix","Austria",57,"Mika Häkkinen","Finland"
201,1998,"German Grand Prix","Germany",57,"Mika Häkkinen","Finland"
202,1998,"Hungarian Grand Prix","Hungary",30,"Michael Schumacher","Germany"
203,1998,"Belgian Grand Prix","Belgium",71,"Damon Hill","UK"
204,1998,"Italian Grand Prix","Italy",30,"Michael Schumacher","Germany"
205,1998,"Luxembourg Grand Prix","Germany",57,"Mika Häkkinen","Finland"
206,1998,"Japanese Grand Prix","Japan",57,"Mika Häkkinen","Finland"
175,1999,"Australian Grand Prix","Australia",56,"Eddie Irvine","UK"
176,1999,"Brazilian Grand Prix","Brazil",57,"Mika Häkkinen","Finland"
177,1999,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
178,1999,"Monaco Grand Prix","Monaco",30,"Michael Schumacher","Germany"
179,1999,"Spanish Grand Prix","Spain",57,"Mika Häkkinen","Finland"
180,1999,"Canadian Grand Prix","Canada",57,"Mika Häkkinen","Finland"
181,1999,"French Grand Prix","France",49,"Heinz-Harald Frentzen","Germany"
183,1999,"Austrian Grand Prix","Austria",56,"Eddie Irvine","UK"
184,1999,"German Grand Prix","Germany",56,"Eddie Irvine","UK"
185,1999,"Hungarian Grand Prix","Hungary",57,"Mika Häkkinen","Finland"
186,1999,"Belgian Grand Prix","Belgium",14,"David Coulthard","UK"
187,1999,"Italian Grand Prix","Italy",49,"Heinz-Harald Frentzen","Germany"
188,1999,"European Grand Prix","Germany",65,"Johnny Herbert","UK"
189,1999,"Malaysian Grand Prix","Malaysia",56,"Eddie Irvine","UK"
190,1999,"Japanese Grand Prix","Japan",57,"Mika Häkkinen","Finland"
158,2000,"Australian Grand Prix","Australia",30,"Michael Schumacher","Germany"
159,2000,"Brazilian Grand Prix","Brazil",30,"Michael Schumacher","Germany"
160,2000,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
162,2000,"Spanish Grand Prix","Spain",57,"Mika Häkkinen","Finland"
164,2000,"Monaco Grand Prix","Monaco",14,"David Coulthard","UK"
165,2000,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
166,2000,"French Grand Prix","France",14,"David Coulthard","UK"
167,2000,"Austrian Grand Prix","Austria",57,"Mika Häkkinen","Finland"
168,2000,"German Grand Prix","Germany",22,"Rubens Barrichello","Brazil"
169,2000,"Hungarian Grand Prix","Hungary",57,"Mika Häkkinen","Finland"
170,2000,"Belgian Grand Prix","Belgium",57,"Mika Häkkinen","Finland"
171,2000,"Italian Grand Prix","Italy",30,"Michael Schumacher","Germany"
172,2000,"United States Grand Prix","USA",30,"Michael Schumacher","Germany"
173,2000,"Japanese Grand Prix","Japan",30,"Michael Schumacher","Germany"
174,2000,"Malaysian Grand Prix","Malaysia",30,"Michael Schumacher","Germany"
141,2001,"Australian Grand Prix","Australia",30,"Michael Schumacher","Germany"
142,2001,"Malaysian Grand Prix","Malaysia",30,"Michael Schumacher","Germany"
143,2001,"Brazilian Grand Prix","Brazil",14,"David Coulthard","UK"
144,2001,"San Marino Grand Prix","Italy",23,"Ralf Schumacher","Germany"
145,2001,"Spanish Grand Prix","Spain",30,"Michael Schumacher","Germany"
146,2001,"Austrian Grand Prix","Austria",14,"David Coulthard","UK"
147,2001,"Monaco Grand Prix","Monaco",30,"Michael Schumacher","Germany"
148,2001,"Canadian Grand Prix","Canada",23,"Ralf Schumacher","Germany"
150,2001,"French Grand Prix","France",30,"Michael Schumacher","Germany"
151,2001,"British Grand Prix","UK",57,"Mika Häkkinen","Finland"
153,2001,"Hungarian Grand Prix","Hungary",30,"Michael Schumacher","Germany"
154,2001,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","Germany"
155,2001,"Italian Grand Prix","Italy",31,"Juan Pablo Montoya","Colombia"
156,2001,"United States Grand Prix","USA",57,"Mika Häkkinen","Finland"
157,2001,"Japanese Grand Prix","Japan",30,"Michael Schumacher","Germany"
124,2002,"Australian Grand Prix","Australia",30,"Michael Schumacher","Germany"
125,2002,"Malaysian Grand Prix","Malaysia",23,"Ralf Schumacher","Germany"
126,2002,"Brazilian Grand Prix","Brazil",30,"Michael Schumacher","Germany"
127,2002,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
128,2002,"Spanish Grand Prix","Spain",30,"Michael Schumacher","Germany"
129,2002,"Austrian Grand Prix","Austria",30,"Michael Schumacher","Germany"
130,2002,"Monaco Grand Prix","Monaco",14,"David Coulthard","UK"
131,2002,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
132,2002,"European Grand Prix","Germany",22,"Rubens Barrichello","Brazil"
133,2002,"British Grand Prix","UK",30,"Michael Schumacher","Germany"
134,2002,"French Grand Prix","France",30,"Michael Schumacher","Germany"
136,2002,"Hungarian Grand Prix","Hungary",22,"Rubens Barrichello","Brazil"
137,2002,"Belgian Grand Prix","Belgium",30,"Michael Schumacher","Germany"
138,2002,"Italian Grand Prix","Italy",22,"Rubens Barrichello","Brazil"
139,2002,"United States Grand Prix","USA",22,"Rubens Barrichello","Brazil"
140,2002,"Japanese Grand Prix","Japan",30,"Michael Schumacher","Germany"
108,2003,"Australian Grand Prix","Australia",14,"David Coulthard","UK"
109,2003,"Malaysian Grand Prix","Malaysia",8,"Kimi Räikkönen","Finland"
110,2003,"Brazilian Grand Prix","Brazil",21,"Giancarlo Fisichella","Italy"
111,2003,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
112,2003,"Spanish Grand Prix","Spain",30,"Michael Schumacher","Germany"
113,2003,"Austrian Grand Prix","Austria",30,"Michael Schumacher","Germany"
114,2003,"Monaco Grand Prix","Monaco",31,"Juan Pablo Montoya","Colombia"
115,2003,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
117,2003,"French Grand Prix","France",23,"Ralf Schumacher","Germany"
118,2003,"British Grand Prix","UK",22,"Rubens Barrichello","Brazil"
119,2003,"German Grand Prix","Germany",31,"Juan Pablo Montoya","Colombia"
120,2003,"Hungarian Grand Prix","Hungary",4,"Fernando Alonso","Spain"
121,2003,"Italian Grand Prix","Italy",30,"Michael Schumacher","Germany"
122,2003,"United States Grand Prix","USA",30,"Michael Schumacher","Germany"
123,2003,"Japanese Grand Prix","Japan",22,"Rubens Barrichello","Brazil"
90,2004,"Australian Grand Prix","Australia",30,"Michael Schumacher","Germany"
91,2004,"Malaysian Grand Prix","Malaysia",30,"Michael Schumacher","Germany"
92,2004,"Bahrain Grand Prix","Bahrain",30,"Michael Schumacher","Germany"
93,2004,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
94,2004,"Spanish Grand Prix","Spain",30,"Michael Schumacher","Germany"
95,2004,"Monaco Grand Prix","Monaco",15,"Jarno Trulli","Italy"
97,2004,"Canadian Grand Prix","Canada",30,"Michael Schumacher","Germany"
98,2004,"United States Grand Prix","USA",30,"Michael Schumacher","Germany"
99,2004,"French Grand Prix","France",30,"Michael Schumacher","Germany"
100,2004,"British Grand Prix","UK",30,"Michael Schumacher","Germany"
102,2004,"Hungarian Grand Prix","Hungary",30,"Michael Schumacher","Germany"
103,2004,"Belgian Grand Prix","Belgium",8,"Kimi Räikkönen","Finland"
104,2004,"Italian Grand Prix","Italy",22,"Rubens Barrichello","Brazil"
105,2004,"Chinese Grand Prix","China",22,"Rubens Barrichello","Brazil"
106,2004,"Japanese Grand Prix","Japan",30,"Michael Schumacher","Germany"
107,2004,"Brazilian Grand Prix","Brazil",31,"Juan Pablo Montoya","Colombia"
71,2005,"Australian Grand Prix","Australia",21,"Giancarlo Fisichella","Italy"
72,2005,"Malaysian Grand Prix","Malaysia",4,"Fernando Alonso","Spain"
73,2005,"Bahrain Grand Prix","Bahrain",4,"Fernando Alonso","Spain"
74,2005,"San Marino Grand Prix","Italy",4,"Fernando Alonso","Spain"
75,2005,"Spanish Grand Prix","Spain",8,"Kimi Räikkönen","Finland"
76,2005,"Monaco Grand Prix","Monaco",8,"Kimi Räikkönen","Finland"
77,2005,"European Grand Prix","Germany",4,"Fernando Alonso","Spain"
78,2005,"Canadian Grand Prix","Canada",8,"Kimi Räikkönen","Finland"
79,2005,"United States Grand Prix","USA",30,"Michael Schumacher","Germany"
80,2005,"French Grand Prix","France",4,"Fernando Alonso","Spain"
81,2005,"British Grand Prix","UK",31,"Juan Pablo Montoya","Colombia"
82,2005,"German Grand Prix","Germany",4,"Fernando Alonso","Spain"
83,2005,"Hungarian Grand Prix","Hungary",8,"Kimi Räikkönen","Finland"
84,2005,"Turkish Grand Prix","Turkey",8,"Kimi Räikkönen","Finland"
85,2005,"Italian Grand Prix","Italy",31,"Juan Pablo Montoya","Colombia"
86,2005,"Belgian Grand Prix","Belgium",8,"Kimi Räikkönen","Finland"
87,2005,"Brazilian Grand Prix","Brazil",31,"Juan Pablo Montoya","Colombia"
88,2005,"Japanese Grand Prix","Japan",8,"Kimi Räikkönen","Finland"
89,2005,"Chinese Grand Prix","China",4,"Fernando Alonso","Spain"
53,2006,"Bahrain Grand Prix","Bahrain",4,"Fernando Alonso","Spain"
54,2006,"Malaysian Grand Prix","Malaysia",21,"Giancarlo Fisichella","Italy"
55,2006,"Australian Grand Prix","Australia",4,"Fernando Alonso","Spain"
56,2006,"San Marino Grand Prix","Italy",30,"Michael Schumacher","Germany"
59,2006,"Monaco Grand Prix","Monaco",4,"Fernando Alonso","Spain"
60,2006,"British Grand Prix","UK",4,"Fernando Alonso","Spain"
61,2006,"Canadian Grand Prix","Canada",4,"Fernando Alonso","Spain"
62,2006,"United States Grand Prix","USA",30,"Michael Schumacher","Germany"
63,2006,"French Grand Prix","France",30,"Michael Schumacher","Germany"
65,2006,"Hungarian Grand Prix","Hungary",18,"Jenson Button","UK"
66,2006,"Turkish Grand Prix","Turkey",13,"Felipe Massa","Brazil"
67,2006,"Italian Grand Prix","Italy",30,"Michael Schumacher","Germany"
68,2006,"Chinese Grand Prix","China",30,"Michael Schumacher","Germany"
69,2006,"Japanese Grand Prix","Japan",4,"Fernando Alonso","Spain"
36,2007,"Australian Grand Prix","Australia",8,"Kimi Räikkönen","Finland"
37,2007,"Malaysian Grand Prix","Malaysia",4,"Fernando Alonso","Spain"
38,2007,"Bahrain Grand Prix","Bahrain",13,"Felipe Massa","Brazil"
39,2007,"Spanish Grand Prix","Spain",13,"Felipe Massa","Brazil"
40,2007,"Monaco Grand Prix","Monaco",4,"Fernando Alonso","Spain"
41,2007,"Canadian Grand Prix","Canada",1,"Lewis Hamilton","UK"
42,2007,"United States Grand Prix","USA",1,"Lewis Hamilton","UK"
43,2007,"French Grand Prix","France",8,"Kimi Räikkönen","Finland"
44,2007,"British Grand Prix","UK",8,"Kimi Räikkönen","Finland"
45,2007,"European Grand Prix","Germany",4,"Fernando Alonso","Spain"
46,2007,"Hungarian Grand Prix","Hungary",1,"Lewis Hamilton","UK"
47,2007,"Turkish Grand Prix","Turkey",13,"Felipe Massa","Brazil"
48,2007,"Italian Grand Prix","Italy",4,"Fernando Alonso","Spain"
49,2007,"Belgian Grand Prix","Belgium",8,"Kimi Räikkönen","Finland"
50,2007,"Japanese Grand Prix","Japan",1,"Lewis Hamilton","UK"
51,2007,"Chinese Grand Prix","China",8,"Kimi Räikkönen","Finland"
52,2007,"Brazilian Grand Prix","Brazil",8,"Kimi Räikkönen","Finland"
18,2008,"Australian Grand Prix","Australia",1,"Lewis Hamilton","UK"
19,2008,"Malaysian Grand Prix","Malaysia",8,"Kimi Räikkönen","Finland"
20,2008,"Bahrain Grand Prix","Bahrain",13,"Felipe Massa","Brazil"
21,2008,"Spanish Grand Prix","Spain",8,"Kimi Räikkönen","Finland"
22,2008,"Turkish Grand Prix","Turkey",13,"Felipe Massa","Brazil"
23,2008,"Monaco Grand Prix","Monaco",1,"Lewis Hamilton","UK"
24,2008,"Canadian Grand Prix","Canada",9,"Robert Kubica","Poland"
25,2008,"French Grand Prix","France",13,"Felipe Massa","Brazil"
27,2008,"German Grand Prix","Germany",1,"Lewis Hamilton","UK"
28,2008,"Hungarian Grand Prix","Hungary",5,"Heikki Kovalainen","Finland"
29,2008,"European Grand Prix","Spain",13,"Felipe Massa","Brazil"
30,2008,"Belgian Grand Prix","Belgium",13,"Felipe Massa","Brazil"
31,2008,"Italian Grand Prix","Italy",20,"Sebastian Vettel","Germany"
32,2008,"Singapore Grand Prix","Singapore",4,"Fernando Alonso","Spain"
33,2008,"Japanese Grand Prix","Japan",4,"Fernando Alonso","Spain"
34,2008,"Chinese Grand Prix","China",1,"Lewis Hamilton","UK"
1,2009,"Australian Grand Prix","Australia",18,"Jenson Button","UK"
2,2009,"Malaysian Grand Prix","Malaysia",18,"Jenson Button","UK"
3,2009,"Chinese Grand Prix","China",20,"Sebastian Vettel","Germany"
4,2009,"Bahrain Grand Prix","Bahrain",18,"Jenson Button","UK"
5,2009,"Spanish Grand Prix","Spain",18,"Jenson Button","UK"
6,2009,"Monaco Grand Prix","Monaco",18,"Jenson Button","UK"
7,2009,"Turkish Grand Prix","Turkey",18,"Jenson Button","UK"
8,2009,"British Grand Prix","UK",20,"Sebastian Vettel","Germany"
9,2009,"German Grand Prix","Germany",17,"Mark Webber","Australia"
10,2009,"Hungarian Grand Prix","Hungary",1,"Lewis Hamilton","UK"
11,2009,"European Grand Prix","Spain",22,"Rubens Barrichello","Brazil"
12,2009,"Belgian Grand Prix","Belgium",8,"Kimi Räikkönen","Finland"
13,2009,"Italian Grand Prix","Italy",22,"Rubens Barrichello","Brazil"
14,2009,"Singapore Grand Prix","Singapore",1,"Lewis Hamilton","UK"
15,2009,"Japanese Grand Prix","Japan",20,"Sebastian Vettel","Germany"
16,2009,"Brazilian Grand Prix","Brazil",17,"Mark Webber","Australia"
17,2009,"Abu Dhabi Grand Prix","UAE",20,"Sebastian Vettel","Germany"
337,2010,"Bahrain Grand Prix","Bahrain",4,"Fernando Alonso","Spain"
338,2010,"Australian Grand Prix","Australia",18,"Jenson Button","UK"
339,2010,"Malaysian Grand Prix","Malaysia",20,"Sebastian Vettel","Germany"
340,2010,"Chinese Grand Prix","China",18,"Jenson Button","UK"
341,2010,"Spanish Grand Prix","Spain",17,"Mark Webber","Australia"
342,2010,"Monaco Grand Prix","Monaco",17,"Mark Webber","Australia"
343,2010,"Turkish Grand Prix","Turkey",1,"Lewis Hamilton","UK"
344,2010,"Canadian Grand Prix","Canada",1,"Lewis Hamilton","UK"
